game_id,season,home_goals,away_goals
2003020465,2003,5,4
2003020466,2003,6,1
2003020467,2003,0,3
2003020468,2003,4,3
2003020469,2003,4,2
2003020470,2003,1,1
2003020471,2003,4,4
2003020472,2003,2,2
2003020473,2003,1,2
2003020474,2003,1,0
2003020475,2003,3,2
2003020476,2003,2,5
2003020477,2003,1,0
2003020478,2003,1,2
2003020479,2003,3,1
2003020480,2003,4,2
2003020481,2003,3,1
2003020482,2003,4,7
2003020483,2003,1,2
2003020484,2003,1,1
2003020485,2003,1,0
2003020486,2003,5,2
2003020487,2003,0,3
2003020488,2003,3,3
2003020489,2003,4,5
2003020490,2003,4,1
2003020491,2003,2,2
2003020492,2003,1,2
2003020493,2003,4,2
2003020494,2003,1,3
2003020495,2003,4,1
2003020496,2003,3,2
2003020497,2003,2,1
2003020498,2003,3,3
2003020499,2003,4,4
2003020500,2003,2,1
2003020501,2003,1,1
2003020502,2003,2,2
2003020503,2003,4,2
2003020504,2003,3,2
2003020505,2003,1,2
2003020506,2003,5,2
2003020507,2003,3,3
2003020508,2003,3,0
2003020509,2003,2,1
2003020510,2003,5,6
2003020511,2003,3,3
2003020512,2003,3,4
2003020513,2003,3,1
2003020514,2003,2,2
2003020515,2003,3,1
2003020516,2003,3,3
2003020517,2003,1,4
2003020518,2003,2,1
2003020519,2003,0,2
2003020520,2003,5,0
2003020521,2003,3,1
2003020522,2003,1,3
2003020523,2003,2,1
2003020524,2003,3,4
2003020525,2003,0,2
2003020526,2003,4,2
2003020527,2003,3,2
2003020528,2003,3,2
2003020529,2003,1,3
2003020530,2003,2,6
2003020531,2003,4,4
2003020532,2003,5,2
2003020533,2003,3,0
2003020534,2003,1,2
2003020535,2003,3,1
2003020536,2003,1,3
2003020537,2003,2,1
2003020538,2003,0,2
2003020539,2003,2,3
2003020540,2003,1,0
2003020541,2003,1,2
2003020542,2003,4,4
2003020543,2003,2,2
2003020544,2003,2,3
2003020545,2003,2,2
2003020546,2003,2,3
2003020547,2003,5,2
2003020548,2003,0,3
2003020549,2003,2,7
2003020550,2003,2,2
2003020551,2003,2,3
2003020552,2003,1,6
2003020553,2003,2,2
2003020554,2003,7,1
2003020555,2003,6,5
2003020556,2003,0,1
2003020557,2003,1,3
2003020558,2003,1,2
2003020559,2003,3,4
2003020560,2003,1,1
2003020561,2003,4,0
2003020562,2003,3,2
